Date,T2M,GWETROOT,PRECTOTCORR,LAT,LON
2000-03-01,20.14,0.68,5.27,-11.75,33.75
2000-03-01,25.44,0.77,5.27,-11.75,34.25
2000-03-01,25.24,0.73,5.27,-11.75,34.75
2000-03-01,23.76,0.7,5.27,-11.75,35.25
2000-03-01,23.14,0.72,5.27,-11.75,35.75
2000-03-01,22.07,0.55,5.27,-11.25,33.25
2000-03-01,19.98,0.68,5.27,-11.25,33.75
2000-03-01,25.49,0.76,5.27,-11.25,34.25
2000-03-01,24.53,0.68,5.27,-11.25,34.75
2000-03-01,22.89,0.63,5.27,-11.25,35.25
2000-03-01,22.85,0.65,5.27,-11.25,35.75
2000-03-01,22.06,0.56,5.27,-10.75,33.25
2000-03-01,19.65,0.67,5.27,-10.75,33.75
2000-03-01,25.62,0.7,5.27,-10.75,34.25
2000-03-01,24.17,0.65,5.27,-10.75,34.75
2000-03-01,22.01,0.63,5.27,-10.75,35.25
2000-03-01,21.84,0.65,5.27,-10.75,35.75
2000-03-01,21.85,0.59,7.91,-10.25,33.25
2000-03-01,21.23,0.64,7.91,-10.25,33.75
2000-03-01,25.27,0.68,5.8,-10.25,34.25
2000-03-01,23.32,0.66,5.27,-10.25,34.75
2000-03-01,21.46,0.66,5.27,-10.25,35.25
2000-03-01,21.77,0.66,5.27,-10.25,35.75
2000-03-01,21.15,0.55,10.55,-9.75,33.25
2000-03-01,22.44,0.58,10.55,-9.75,33.75
2000-03-01,21.91,0.62,6.33,-9.75,34.25
2000-03-01,20.24,0.64,5.27,-9.75,34.75
2000-03-01,20.47,0.64,5.27,-9.75,35.25
2000-03-01,22.5,0.6,5.27,-9.75,35.75
2000-03-01,19.76,0.53,10.55,-9.25,33.25
2000-03-01,19.46,0.63,10.55,-9.25,33.75
2000-03-01,18.67,0.61,6.33,-9.25,34.25
2000-03-01,18.47,0.63,5.27,-9.25,34.75
2000-03-01,20.25,0.62,5.27,-9.25,35.25
2000-03-01,23.21,0.56,5.27,-9.25,35.75
2000-04-01,24.81,0.42,0.0,-16.75,33.25
2000-04-01,25.0,0.46,0.0,-16.75,33.75
2000-04-01,25.3,0.53,0.0,-16.75,34.25
2000-04-01,25.61,0.57,0.0,-16.75,34.75
2000-04-01,25.28,0.58,1.05,-16.75,35.25
2000-04-01,24.54,0.58,2.64,-16.75,35.75
2000-04-01,25.36,0.5,0.0,-16.25,33.25
2000-04-01,25.37,0.49,0.0,-16.25,33.75
2000-04-01,24.91,0.51,0.0,-16.25,34.25
2000-04-01,24.61,0.57,0.0,-16.25,34.75
2000-04-01,23.66,0.64,2.11,-16.25,35.25
2000-04-01,22.64,0.66,5.27,-16.25,35.75
2000-04-01,24.8,0.5,0.0,-15.75,33.25
2000-04-01,24.3,0.49,0.0,-15.75,33.75
2000-04-01,22.98,0.54,0.0,-15.75,34.25
2000-04-01,22.85,0.58,0.0,-15.75,34.75
2000-04-01,22.58,0.64,2.11,-15.75,35.25
2000-04-01,22.11,0.69,5.27,-15.75,35.75
2000-04-01,23.87,0.45,0.0,-15.25,33.25
2000-04-01,22.01,0.6,0.0,-15.25,33.75
2000-04-01,20.39,0.68,0.0,-15.25,34.25
2000-04-01,21.44,0.67,0.0,-15.25,34.75
2000-04-01,22.76,0.66,1.05,-15.25,35.25
2000-04-01,23.2,0.68,3.16,-15.25,35.75
2000-04-01,22.73,0.48,0.0,-14.75,33.25
2000-04-01,20.13,0.69,0.0,-14.75,33.75
2000-04-01,19.15,0.75,0.0,-14.75,34.25
2000-04-01,21.27,0.72,0.0,-14.75,34.75
2000-04-01,22.91,0.7,0.0,-14.75,35.25
2000-04-01,23.07,0.68,0.53,-14.75,35.75
2000-04-01,21.5,0.56,0.0,-14.25,33.25
2000-04-01,19.78,0.71,0.0,-14.25,33.75
2000-04-01,20.27,0.72,0.0,-14.25,34.25
2000-04-01,22.59,0.69,0.0,-14.25,34.75
2000-04-01,23.34,0.68,0.0,-14.25,35.25
2000-04-01,22.51,0.67,0.0,-14.25,35.75
2000-04-01,20.75,0.63,0.0,-13.75,33.25
2000-04-01,20.06,0.73,0.0,-13.75,33.75
2000-04-01,23.12,0.69,0.0,-13.75,34.25
2000-04-01,24.15,0.67,0.0,-13.75,34.75
2000-04-01,23.38,0.66,0.0,-13.75,35.25
2000-04-01,22.28,0.65,0.0,-13.75,35.75
2000-04-01,20.71,0.6,0.0,-13.25,33.25
2000-04-01,20.68,0.7,0.0,-13.25,33.75
2000-04-01,25.14,0.7,0.0,-13.25,34.25
2000-04-01,24.74,0.69,0.0,-13.25,34.75
2000-04-01,22.76,0.67,0.0,-13.25,35.25
2000-04-01,21.71,0.66,0.0,-13.25,35.75
2000-04-01,20.87,0.58,0.0,-12.75,33.25
2000-04-01,21.08,0.65,0.0,-12.75,33.75
2000-04-01,25.74,0.69,0.0,-12.75,34.25
2000-04-01,24.9,0.69,0.0,-12.75,34.75
2000-04-01,22.47,0.69,1.05,-12.75,35.25
2000-04-01,21.18,0.7,2.64,-12.75,35.75
2000-04-01,21.11,0.55,0.0,-12.25,33.25
2000-04-01,20.6,0.65,0.0,-12.25,33.75
2000-04-01,25.59,0.72,0.0,-12.25,34.25
2000-04-01,25.1,0.72,1.58,-12.25,34.75
2000-04-01,22.93,0.72,3.69,-12.25,35.25
2000-04-01,21.62,0.73,5.27,-12.25,35.75
2000-04-01,21.79,0.5,0.0,-11.75,33.25
2000-04-01,19.93,0.66,0.0,-11.75,33.75
2000-04-01,25.09,0.78,0.0,-11.75,34.25
2000-04-01,24.75,0.73,1.58,-11.75,34.75
2000-04-01,23.15,0.7,3.69,-11.75,35.25
2000-04-01,22.51,0.72,4.75,-11.75,35.75
2000-04-01,22.48,0.5,0.0,-11.25,33.25
2000-04-01,19.6,0.66,0.0,-11.25,33.75
2000-04-01,24.89,0.75,0.0,-11.25,34.25
2000-04-01,23.93,0.67,0.0,-11.25,34.75
2000-04-01,22.38,0.62,1.05,-11.25,35.25
2000-04-01,22.47,0.64,2.11,-11.25,35.75
2000-04-01,22.4,0.51,0.0,-10.75,33.25
2000-04-01,19.26,0.64,0.0,-10.75,33.75
2000-04-01,25.01,0.69,0.0,-10.75,34.25
2000-04-01,23.7,0.61,0.0,-10.75,34.75
2000-04-01,21.7,0.59,0.0,-10.75,35.25
2000-04-01,21.66,0.62,0.0,-10.75,35.75
2000-04-01,21.8,0.55,0.0,-10.25,33.25
2000-04-01,20.86,0.62,0.0,-10.25,33.75
2000-04-01,24.81,0.66,0.0,-10.25,34.25
2000-04-01,22.95,0.63,1.58,-10.25,34.75
2000-04-01,21.2,0.63,2.64,-10.25,35.25
2000-04-01,21.64,0.64,2.64,-10.25,35.75
2000-04-01,20.68,0.54,0.0,-9.75,33.25
2000-04-01,21.98,0.59,0.0,-9.75,33.75
2000-04-01,21.63,0.61,0.0,-9.75,34.25
2000-04-01,19.89,0.66,3.16,-9.75,34.75
2000-04-01,20.1,0.66,5.27,-9.75,35.25
2000-04-01,22.26,0.61,5.27,-9.75,35.75
2000-04-01,19.59,0.52,0.0,-9.25,33.25
2000-04-01,19.18,0.64,0.0,-9.25,33.75
2000-04-01,18.45,0.62,0.0,-9.25,34.25
2000-04-01,18.07,0.67,3.16,-9.25,34.75
2000-04-01,19.75,0.67,5.27,-9.25,35.25
2000-04-01,22.83,0.59,5.27,-9.25,35.75
2000-05-01,22.23,0.41,0.0,-16.75,33.25
2000-05-01,22.56,0.44,0.0,-16.75,33.75
2000-05-01,23.22,0.49,0.0,-16.75,34.25
2000-05-01,23.76,0.52,0.0,-16.75,34.75
2000-05-01,23.41,0.53,0.0,-16.75,35.25
2000-05-01,22.46,0.52,0.0,-16.75,35.75
2000-05-01,22.85,0.48,0.0,-16.25,33.25
2000-05-01,23.08,0.46,0.0,-16.25,33.75
2000-05-01,22.89,0.47,0.0,-16.25,34.25
2000-05-01,22.77,0.53,0.0,-16.25,34.75
2000-05-01,21.8,0.59,0.0,-16.25,35.25
2000-05-01,20.6,0.61,0.0,-16.25,35.75
2000-05-01,22.53,0.48,0.0,-15.75,33.25
2000-05-01,22.19,0.46,0.0,-15.75,33.75
2000-05-01,20.9,0.5,0.0,-15.75,34.25
2000-05-01,20.87,0.54,0.0,-15.75,34.75
2000-05-01,20.6,0.59,0.0,-15.75,35.25
2000-05-01,20.03,0.63,0.0,-15.75,35.75
2000-05-01,21.86,0.43,0.0,-15.25,33.25
2000-05-01,20.08,0.56,0.0,-15.25,33.75
2000-05-01,18.2,0.63,0.0,-15.25,34.25
2000-05-01,19.4,0.62,0.0,-15.25,34.75
2000-05-01,20.78,0.61,0.0,-15.25,35.25
2000-05-01,21.11,0.62,0.0,-15.25,35.75
2000-05-01,20.97,0.45,0.0,-14.75,33.25
2000-05-01,18.37,0.64,0.0,-14.75,33.75
2000-05-01,16.94,0.69,0.0,-14.75,34.25
2000-05-01,19.28,0.66,0.0,-14.75,34.75
2000-05-01,21.08,0.63,0.0,-14.75,35.25
2000-05-01,21.21,0.62,0.0,-14.75,35.75
2000-05-01,19.89,0.52,0.0,-14.25,33.25
2000-05-01,18.07,0.65,0.0,-14.25,33.75
2000-05-01,18.23,0.67,0.0,-14.25,34.25
2000-05-01,20.64,0.64,0.0,-14.25,34.75
2000-05-01,21.6,0.62,0.0,-14.25,35.25
2000-05-01,20.94,0.62,0.0,-14.25,35.75
2000-05-01,19.14,0.58,0.0,-13.75,33.25
2000-05-01,18.17,0.67,0.0,-13.75,33.75
2000-05-01,21.19,0.61,0.0,-13.75,34.25
2000-05-01,22.24,0.6,0.0,-13.75,34.75
2000-05-01,21.67,0.61,0.0,-13.75,35.25
2000-05-01,20.9,0.61,0.0,-13.75,35.75
2000-05-01,19.06,0.55,0.0,-13.25,33.25
2000-05-01,18.65,0.63,0.0,-13.25,33.75
2000-05-01,23.2,0.59,0.0,-13.25,34.25
2000-05-01,22.97,0.59,0.0,-13.25,34.75
2000-05-01,21.24,0.61,0.0,-13.25,35.25
2000-05-01,20.48,0.61,0.0,-13.25,35.75
2000-05-01,19.3,0.52,0.0,-12.75,33.25
2000-05-01,19.13,0.59,0.0,-12.75,33.75
2000-05-01,23.83,0.58,0.0,-12.75,34.25
2000-05-01,23.39,0.6,0.0,-12.75,34.75
2000-05-01,21.26,0.62,0.0,-12.75,35.25
2000-05-01,20.06,0.63,0.0,-12.75,35.75
2000-05-01,19.77,0.49,0.0,-12.25,33.25
2000-05-01,18.65,0.59,0.0,-12.25,33.75
2000-05-01,23.82,0.6,0.0,-12.25,34.25
2000-05-01,23.82,0.61,0.0,-12.25,34.75
2000-05-01,21.91,0.63,0.0,-12.25,35.25
2000-05-01,20.54,0.65,0.0,-12.25,35.75
2000-05-01,20.67,0.45,0.0,-11.75,33.25
2000-05-01,17.99,0.59,0.0,-11.75,33.75
2000-05-01,23.58,0.64,0.0,-11.75,34.25
2000-05-01,23.51,0.61,0.0,-11.75,34.75
2000-05-01,22.09,0.61,0.0,-11.75,35.25
2000-05-01,21.52,0.64,0.0,-11.75,35.75
2000-05-01,21.52,0.45,0.0,-11.25,33.25
2000-05-01,17.87,0.59,0.0,-11.25,33.75
2000-05-01,23.54,0.63,0.0,-11.25,34.25
2000-05-01,22.76,0.56,0.0,-11.25,34.75
2000-05-01,21.34,0.53,0.0,-11.25,35.25
2000-05-01,21.55,0.57,0.0,-11.25,35.75
2000-05-01,21.57,0.46,0.0,-10.75,33.25
2000-05-01,17.66,0.57,0.0,-10.75,33.75
2000-05-01,23.79,0.6,0.0,-10.75,34.25
2000-05-01,22.88,0.52,0.0,-10.75,34.75
2000-05-01,20.93,0.49,0.0,-10.75,35.25
2000-05-01,20.7,0.52,0.0,-10.75,35.75
2000-05-01,21.07,0.48,0.0,-10.25,33.25
2000-05-01,19.42,0.55,0.0,-10.25,33.75
2000-05-01,23.66,0.58,0.0,-10.25,34.25
2000-05-01,22.22,0.53,0.0,-10.25,34.75
2000-05-01,20.65,0.51,0.0,-10.25,35.25
2000-05-01,21.03,0.51,0.0,-10.25,35.75
2000-05-01,19.65,0.46,0.0,-9.75,33.25
2000-05-01,20.41,0.52,0.0,-9.75,33.75
2000-05-01,20.22,0.52,0.0,-9.75,34.25
2000-05-01,18.6,0.55,0.0,-9.75,34.75
2000-05-01,19.26,0.55,0.0,-9.75,35.25
2000-05-01,22.02,0.5,0.0,-9.75,35.75
2000-05-01,18.51,0.43,0.0,-9.25,33.25
2000-05-01,17.35,0.56,0.0,-9.25,33.75
2000-05-01,17.11,0.52,0.0,-9.25,34.25
2000-05-01,16.45,0.57,0.0,-9.25,34.75
2000-05-01,18.48,0.57,0.0,-9.25,35.25
2000-05-01,22.52,0.51,0.0,-9.25,35.75
2000-06-01,21.16,0.4,0.0,-16.75,33.25
2000-06-01,21.65,0.43,0.0,-16.75,33.75
2000-06-01,22.63,0.47,0.0,-16.75,34.25
2000-06-01,23.0,0.52,0.0,-16.75,34.75
2000-06-01,22.48,0.52,0.0,-16.75,35.25
2000-06-01,21.51,0.51,0.0,-16.75,35.75
2000-06-01,21.79,0.48,0.0,-16.25,33.25
2000-06-01,22.18,0.46,0.0,-16.25,33.75
2000-06-01,22.22,0.46,0.0,-16.25,34.25
2000-06-01,21.94,0.51,0.0,-16.25,34.75
2000-06-01,20.75,0.57,0.0,-16.25,35.25
2000-06-01,19.45,0.59,0.0,-16.25,35.75
2000-06-01,21.36,0.47,0.0,-15.75,33.25
2000-06-01,21.15,0.45,0.0,-15.75,33.75
2000-06-01,20.03,0.49,0.0,-15.75,34.25
